ID,X,Y,Z,PROFIT,COPIES
0,33,33,33,36137,1
1,84,84,84,592904,1
2,42,42,42,74288,1
3,27,27,27,19883,1
4,65,65,65,274825,1
5,33,33,33,36137,1
6,84,84,84,592904,1
7,42,42,42,74288,1
8,27,27,27,19883,1
9,65,65,65,274825,1
10,33,33,33,36137,1
11,84,84,84,592904,1
12,42,42,42,74288,1
13,27,27,27,19883,1
14,65,65,65,274825,1
15,33,33,33,36137,1
16,84,84,84,592904,1
17,42,42,42,74288,1
18,27,27,27,19883,1
19,65,65,65,274825,1
20,33,33,33,36137,1
21,84,84,84,592904,1
22,42,42,42,74288,1
23,27,27,27,19883,1
24,65,65,65,274825,1
25,33,33,33,36137,1
26,84,84,84,592904,1
27,42,42,42,74288,1
28,27,27,27,19883,1
29,65,65,65,274825,1
30,33,33,33,36137,1
31,84,84,84,592904,1
32,42,42,42,74288,1
33,27,27,27,19883,1
34,65,65,65,274825,1
35,33,33,33,36137,1
36,84,84,84,592904,1
37,42,42,42,74288,1
38,27,27,27,19883,1
39,65,65,65,274825,1
