Path,Best known solution value,chen2016 / Solution value,chen2016 / Time
cintra2008_1bintype/gcut1d.txt,294,294,1.1
cintra2008_1bintype/gcut2d.txt,345,345,2.2
cintra2008_1bintype/gcut3d.txt,332,332,4
cintra2008_1bintype/gcut4d.txt,836,836,10.2
cintra2008_1bintype/gcut5d.txt,197,197,2.2
cintra2008_1bintype/gcut6d.txt,343,343,4.4
cintra2008_1bintype/gcut7d.txt,591,591,6.7
cintra2008_1bintype/gcut8d.txt,690,697,20.8
cintra2008_1bintype/gcut9d.txt,131,131,16
cintra2008_1bintype/gcut10d.txt,293,295,29.4
cintra2008_1bintype/gcut11d.txt,330,330,60.5
cintra2008_1bintype/gcut12d.txt,672,672,78.8
