Path,Best known solution value,Best known bound,chen2016 / Solution value,chen2016 / Time
hifi1997a/A1,23,23,23,0.4
hifi1997a/A2,12,12,12,0.3
hifi1997a/A3,8,8,8,0.2
hifi1997a/A4,5,5,5,0.1
hifi1997a/A5,4,4,4,0.2
cung2000/CHL1,6,6,6,0.3
cung2000/CHL2,3,3,3,0.1
cung2000/CHL5,4,3,4,0.1
cung2000/CHL6,6,5,6,0.4
cung2000/CHL7,6,6,6,0.5
fayard1998/CU1,12,12,12,0.4
fayard1998/CU2,15,14,15,0.9
fayard1998/CW1,9,9,10,0.3
fayard1998/CW2,12,12,12,0.6
fayard1998/CW3,16,16,16,1.6
cung2000/Hchl2,6,6,6,0.5
cung2000/Hchl3s,3,3,3,0.1
cung2000/Hchl4s,2,2,2,0.1
cung2000/Hchl6s,5,5,5,0.4
cung2000/Hchl7s,7,7,7,1.1
cung2000/Hchl8s,2,2,2,0.1
cung2000/Hchl9,10,10,10,0.4
hifi1997a/HH,2,2,2,0.1
oliveira1990/OF1,4,4,4,0.1
oliveira1990/OF2,4,4,4,0.1
tschoke1995/STS2,12,12,12,0.4
tschoke1995/STS4,5,5,5,0.2
wang1983/W,23,24,24,0.3
hifi1997a/2,2,2,2,0.1
hifi1997a/3,23,23,23,0.3
