Path,Best known solution value,Best known bound,cintra2008 / Solution value,cintra2008 / Time,furini2012 / Solution value,furini2012 / Time
cintra2008/gcut1d.txt,13839375,13828125,13909215.7276924,0.67,13845709.0504941,0.1
cintra2008/gcut2d.txt,15443155.7774865,15432500,15474435.7208034,37.05,15443155.7774865,7.87
cintra2008/gcut3d.txt,19346266.7428045,19311250,19437790.0129845,45.33,19346266.7428045,7.5
cintra2008/gcut4d.txt,44775111.7690007,44767500,44905359.4535223,166.68,44775111.7690007,14.33
cintra2008/gcut5d.txt,40112369.6691949,40087500,40384731.6247582,0.74,40112369.6691949,0.26
cintra2008/gcut6d.txt,70862500,70840000,71163795.2684715,5.49,70915170.0802851,0.8
cintra2008/gcut7d.txt,114890082.9506,114820000,115314700.063271,56.78,114890082.9506,3.5
cintra2008/gcut8d.txt,152783199.703713,152635000,153414344.87195,394.05,152783199.703713,20.57
cintra2008/gcut9d.txt,119870875.898505,119570000,121057800.366504,1.14,119870875.898505,0.28
cintra2008/gcut10d.txt,248018890.578724,247880000,249268425.127963,5.68,248018890.578724,1.18
cintra2008/gcut11d.txt,287080478.167359,286980000,289451919.391604,290.64,287080478.167359,10.77
cintra2008/gcut12d.txt,563288669.181735,562900000,564656080.410075,690.59,563288669.181735,22.19
